dataid,Previous meter,Current meter,Difference,Previous Date,Previous Hour,Previous Minute,Previous Second,Current Date,Current Hour,Current Minute,Current Second
35.0,94014.0,94012.0,2.0,2015-10-20,8.0,53.0,16.0,2015-10-20,9.0,0.0,12.0
77.0,59260.0,59258.0,2.0,2015-10-20,20.0,7.0,57.0,2015-10-20,20.0,20.0,55.0
94.0,117626.0,117614.0,12.0,2015-11-1,1.0,10.0,7.0,2015-11-1,1.0,11.0,10.0
94.0,117626.0,117614.0,12.0,2015-11-1,1.0,13.0,9.0,2015-11-1,1.0,17.0,53.0
94.0,117626.0,117616.0,10.0,2015-11-1,1.0,19.0,10.0,2015-11-1,1.0,23.0,12.0
94.0,129602.0,129598.0,4.0,2016-1-16,10.0,23.0,19.0,2016-1-16,10.0,23.0,43.0
94.0,130316.0,130306.0,10.0,2016-1-18,11.0,19.0,30.0,2016-1-18,11.0,19.0,47.0
94.0,130316.0,130310.0,6.0,2016-1-18,11.0,26.0,27.0,2016-1-18,11.0,26.0,52.0
483.0,361144.0,361130.0,14.0,2015-10-21,0.0,8.0,56.0,2015-10-21,0.0,18.0,54.0
484.0,100418.0,100416.0,2.0,2015-11-1,1.0,15.0,20.0,2015-11-1,1.0,18.0,29.0
484.0,100418.0,100416.0,2.0,2015-11-1,1.0,27.0,18.0,2015-11-1,1.0,34.0,43.0
484.0,100418.0,100416.0,2.0,2015-11-1,1.0,38.0,15.0,2015-11-1,1.0,40.0,0.0
484.0,100418.0,100416.0,2.0,2015-11-1,1.0,42.0,34.0,2015-11-1,1.0,44.0,34.0
484.0,100418.0,100416.0,2.0,2015-11-1,1.0,46.0,47.0,2015-11-1,1.0,48.0,31.0
484.0,100418.0,100416.0,2.0,2015-11-1,1.0,49.0,6.0,2015-11-1,1.0,55.0,28.0
484.0,112164.0,112158.0,6.0,2016-3-5,0.0,0.0,0.0,2016-3-5,0.0,1.0,58.0
484.0,112160.0,112158.0,2.0,2016-3-5,1.0,42.0,41.0,2016-3-5,1.0,43.0,22.0
484.0,112160.0,112158.0,2.0,2016-3-5,1.0,56.0,57.0,2016-3-5,1.0,57.0,57.0
1042.0,203558.0,203556.0,2.0,2015-10-7,14.0,24.0,6.0,2015-10-7,14.0,32.0,8.0
1086.0,84566.0,84564.0,2.0,2015-11-1,1.0,29.0,24.0,2015-11-1,1.0,32.0,25.0
1185.0,139798.0,139796.0,2.0,2015-10-17,10.0,50.0,54.0,2015-10-17,10.0,51.0,9.0
1185.0,139798.0,139796.0,2.0,2015-10-17,10.0,59.0,49.0,2015-10-17,11.0,8.0,6.0
1185.0,139800.0,139798.0,2.0,2015-10-17,11.0,43.0,41.0,2015-10-17,11.0,47.0,3.0
1185.0,139806.0,139802.0,4.0,2015-10-17,12.0,31.0,41.0,2015-10-17,12.0,33.0,57.0
1185.0,139812.0,139806.0,6.0,2015-10-17,13.0,3.0,51.0,2015-10-17,13.0,27.0,1.0
1185.0,139814.0,139806.0,8.0,2015-10-17,13.0,37.0,59.0,2015-10-17,13.0,40.0,2.0
1185.0,139818.0,139816.0,2.0,2015-10-17,16.0,50.0,47.0,2015-10-17,17.0,12.0,56.0
